OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-02-26T05:12:56.009088,2.00562568,.0047221,55.4664,174.2507,56.9859,303.4445,0,U,24876,999,17310,0,.8E-7,0
GPS BIIR-4  (PRN 20),2000-025A,2021-02-26T10:21:03.252960,2.00563025,.0058047,53.6935,98.6050,166.3578,329.9445,0,U,26360,999,15242,0,.21E-6,0
GPS BIIR-5  (PRN 28),2000-040A,2021-02-26T10:18:01.991808,2.00564427,.0181086,55.8034,292.1347,282.5649,173.1336,0,U,26407,999,15110,0,.26E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2021-02-25T09:01:42.636288,2.00565982,.0120574,55.8572,291.9711,36.7429,144.1951,0,U,27663,999,13244,0,.29E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2021-02-26T08:33:18.868032,2.00558671,.0244481,54.7937,42.6393,291.9340,90.4961,0,U,27704,999,13126,0,-.35E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-02-26T09:47:49.314624,2.00572238,.0071984,53.5037,101.2727,300.1155,59.2574,0,U,28129,999,12594,0,.21E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2021-02-26T02:05:25.789920,2.00570136,.0088278,56.2212,352.7955,102.5240,26.3576,0,U,28190,999,12409,0,-.69E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2021-02-26T04:06:27.435168,2.00569795,.0205859,55.1309,42.6095,271.6005,193.9661,0,U,28474,999,11958,0,-.34E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-02-25T15:12:18.375264,2.00577974,.0137337,56.3101,350.2202,269.6667,273.0243,0,U,28874,999,11297,0,-.68E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-02-26T05:48:59.052960,2.00554938,.0099259,54.7969,228.2387,13.0439,168.2287,0,U,29486,999,10557,0,.54E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-02-25T22:22:44.475744,2.00550202,.008204,55.8504,290.8726,66.8658,294.0690,0,U,29601,999,10455,0,.3E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-02-25T18:00:56.569536,2.00574897,.01287,53.2163,160.2971,54.9495,306.2503,0,U,32260,999,9799,0,0,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-02-26T04:36:47.697408,2.00563429,.0013513,56.4135,350.9019,127.5891,322.2894,0,U,32384,999,9666,0,-.67E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2021-02-26T03:44:58.720416,2.00571736,.0146521,54.5478,227.2864,225.9215,132.8410,0,U,32711,999,9492,0,.53E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2021-02-26T04:18:38.456064,2.00545893,.0058079,54.7361,104.7566,49.0187,347.5386,0,U,35752,999,8451,0,.24E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2021-02-26T05:17:26.265696,2.00564793,.0096588,55.1245,286.7154,53.4314,121.3538,0,U,36585,999,7874,0,.34E-6,0
GPS BIIF-2  (PRN 01),2011-036A,2021-02-26T12:34:19.984224,2.00562305,.0102832,56.3480,47.2904,46.0298,75.2818,0,U,37753,999,7043,0,-.24E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2021-02-25T20:06:27.000000,2.00570017,.0107905,53.5947,222.9011,41.0367,319.7415,0,U,38833,999,6069,0,.49E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2021-02-25T04:55:38.893728,2.00563468,.009007,55.9591,346.7920,32.0490,328.5074,0,U,39166,999,5701,0,-.68E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2021-02-24T04:59:19.586976,2.00555038,.0049621,53.7021,228.4280,199.6398,160.1587,0,U,39533,999,5081,0,.65E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2021-02-25T23:32:12.121440,2.00559131,.0025285,56.3180,46.8388,296.6564,63.1022,0,U,39741,999,4968,0,-.24E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2021-02-25T13:39:01.005696,2.00576471,.0016999,54.6133,165.8424,106.1310,254.0465,0,U,40105,999,4724,0,.1E-7,0
GPS BIIF-8  (PRN 03),2014-068A,2021-02-23T10:51:44.243424,2.00566562,.0031059,55.4823,106.9073,45.0595,315.2672,0,U,40294,999,4630,0,.3E-7,0
GPS BIIF-9  (PRN 26),2015-013A,2021-02-23T02:10:33.306528,2.00553384,.0056888,54.0358,284.5302,13.4005,346.8161,0,U,40534,999,4291,0,.34E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2021-02-26T05:54:43.930656,2.00577069,.0062358,55.4691,345.8052,356.9075,3.0714,0,U,40730,999,4114,0,-.65E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2021-02-26T06:56:50.464608,2.00563843,.006625,55.4783,106.6270,213.5512,146.1123,0,U,41019,999,3898,0,.26E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2021-02-25T09:12:29.170944,2.00567041,.0047834,54.8430,166.4018,222.9780,136.6370,0,U,41328,999,3700,0,0,0
GPS BIII-1  (PRN 04),2018-109A,2021-02-26T09:21:39.118176,2.00573456,.0011933,55.0245,168.6807,199.7581,63.8906,0,U,43873,999,1625,0,.8E-7,0
GPS BIII-2  (PRN 18),2019-056A,2021-02-26T11:28:19.214688,2.00562678,.0011948,55.4125,48.0426,185.0311,37.5659,0,U,44506,999,1122,0,-.25E-6,0
GPS BIII-3  (PRN 23),2020-041A,2021-02-25T18:03:16.363872,2.00566934,.0009248,55.1901,105.3305,149.9745,210.1632,0,U,45854,999,517,0,.23E-6,0

